,mutual_information,mutual_information_rank,tree_importance,tree_importance_rank,combined_rank,source_variable
RX3V1C3__057,0.0015415178309010624,498.0,0.0003782406527408407,399.0,448.5,RX3V1C3
IMMEDR__7,0.0006053149143783187,570.0,0.0005844394545398518,331.0,450.5,IMMEDR
PAINSCALE__1,0.004120724208827253,331.0,0.0001061793290344051,570.0,450.5,PAINSCALE
PAYDK__Yes,0.0,601.0,0.0006660897137295043,301.0,451.0,PAYDK
RX6V1C2__122,0.002331932363782485,434.0,0.00023824113870909882,469.0,451.5,RX6V1C2
RFID__Missing,0.002219641187646726,443.0,0.00025210832662091073,461.0,452.0,RFID
CONTSUB2__2,0.0,601.0,0.0006555218627688924,303.0,452.0,CONTSUB2
GPMED15__1,0.0067659421174253165,241.0,3.350705117499547e-05,668.0,454.5,GPMED15
PAINSCALE__7,0.0007559249756587949,552.0,0.00046873827812520837,358.0,455.0,PAINSCALE
COVIDANTIBODY__Yes,0.0,601.0,0.0006447353649761401,312.0,456.5,COVIDANTIBODY
PRESCR13__1,0.0028676585886231454,396.0,0.00016926784161113055,518.0,457.0,PRESCR13
PAYOTH__Yes,0.0002530326863003918,584.0,0.0005856725183320591,330.0,457.0,PAYOTH
ETHIM__1,0.0,601.0,0.000633914457705662,314.0,457.5,ETHIM
SEEN72__1,0.0001095507780644045,590.0,0.0006013717186658471,326.0,458.0,SEEN72
GPMED8__3,0.0039929432161385225,336.0,9.699728621434237e-05,581.0,458.5,GPMED8
DASHBORD__Missing,0.0014360537164981313,506.0,0.0003512373954184745,411.0,458.5,DASHBORD
COMSTAT7__2,0.0038237320641267836,345.0,0.00010382507679709135,573.0,459.0,COMSTAT7
RNLPN__No,0.0,601.0,0.0006235432367319209,317.0,459.0,RNLPN
NURSEPR__Yes,0.0,601.0,0.0006215520012260524,318.0,459.5,NURSEPR
RX17V1C1__218,0.00863459757389462,196.0,1.6848243741099415e-05,723.0,459.5,RX17V1C1
PRESCR9__5,0.0029116327299782974,392.0,0.00015180149287009393,529.0,460.5,PRESCR9
PRESCR17__1,0.0034929830690633157,368.0,0.00012936397586221294,554.0,461.0,PRESCR17
VMONTH__12,0.0,601.0,0.0006171177666692153,321.0,461.0,VMONTH
POOLNURS__Missing,1.1545345472541158e-05,599.0,0.0006043765293706089,324.0,461.5,POOLNURS
SUBSTAB__Yes,0.0,601.0,0.0006022887982311473,325.0,463.0,SUBSTAB
RX5V3C2__frequency,0.0013326680806260427,512.0,0.0003417681945733012,416.0,464.0,RX5V3C2
PHYSPRACTRIA__Missing,0.0015283036011437545,499.0,0.0003196793919955443,430.0,464.5,PHYSPRACTRIA
CONTSUB4__3,0.0084084321122051,199.0,1.5551581663348814e-05,731.0,465.0,CONTSUB4
SURGDAY__7,0.0,601.0,0.0005884186989121282,329.0,465.0,SURGDAY
RX3V1C2__040,0.0023903711007837725,430.0,0.00019163183163836215,501.0,465.5,RX3V1C2
FASTTRAK__Missing,0.0009488153984140713,538.0,0.00038958145107832694,393.0,465.5,FASTTRAK
