source_variable,mutual_information,tree_importance
RFV43D,0.0049916157560265795,0.0028755912350386416
MED5,0.024731454275258136,0.0028573969200227363
MED6,0.0206797553015996,0.0028058573254481716
DRUGID7,0.01790462850973218,0.002785399042404616
DIAG4,0.015455742448186482,0.00272900537817926
RX7CAT1,0.02726377626242993,0.0026735279620415816
RX4V2C1,0.030629843085595798,0.002653705156661807
BNP,0.009187308470585798,0.002635601490271456
XRAY,0.016758979342019975,0.0026079620722392204
RX5V1C1,0.031143679237791932,0.0025031480611545694
DRUGID5,0.022633380537842918,0.002493162478849808
RX5V2C1,0.027372721883035522,0.0024774119006793567
GPMED1,0.022684516344523953,0.0024267708134588515
RACEUN,0.006637545469263761,0.002355631247798034
RX7V2C1,0.023822952274321407,0.0023293431131633804
CAD,0.011163168532693168,0.0022973205215775176
PRESCR2,0.015335718640368423,0.0022879306946326445
RESINT,0.0037415070627497826,0.00222875262341005
RX6V3C1,0.013732603036593849,0.0022125305409702823
CTCONTRAST,0.0118632722471681,0.0021747318230973356
INJPOISAD,0.012375337675917475,0.0021639857957639623
DIAG5,0.009121190810463142,0.002137030923938661
ANYIMAGE,0.025457032301122284,0.0020640311308992524
RX9V1C1,0.016643498259391487,0.002059125629912834
CARDENZ,0.008924793835128453,0.0019901760874331898
CONTSUB4,0.04274751157109047,0.0019744671558227316
INJURY,0.0052641627285887616,0.0019669982966298632
RX1V2C2,0.017134039074610863,0.0019152908631040403
RFV53D,0.0,0.0018673225699503363
RACERETH,0.0016933232003375487,0.0018516316131151173
PRESCR3,0.027256155333071685,0.0018261105407135088
RX1CAT2,0.014565650444552825,0.0018126783891762065
VITALSD,0.014784420951060806,0.0018019580586969273
POOLNURS,0.005784056792962788,0.0017723155183874029
RX1V1C2,0.0026433619825640964,0.001770463955490832
OTHPROV,0.00927808120028395,0.001756520948499032
CONTSUB6,0.040406885944255455,0.001743514008296311
CATRIAGE,0.0026164874122369675,0.0017425748549913145
CANCER,0.011901111625580718,0.001730855701200828
RESIDNCE,0.0039963327010341665,0.0017202550645194958
RX2V2C2,0.006071736711576792,0.001711946659592709
CONTSUB7,0.019218296743413577,0.0016942501980420006
RFID,0.002219641187646726,0.0016921256486883752
RX3V1C2,0.02530838672659752,0.0016683109483301634
ETHUN,0.006392441534843529,0.0016547674912836454
FASTTRAK,0.0009488153984140713,0.0016346877397364293
EPISODE,0.000954432387773041,0.0016338764905403905
MED9,0.01991601675352772,0.0016167419937208722
COMSTAT4,0.019161789084562564,0.0016011097812889722
CAUSE1,0.007869046512794853,0.0015877970413505763
INTENT15,0.014362447909406217,0.0015788091722164933
RX2CAT2,0.00581824010759191,0.0015643385963366096
PRDIAG5,0.011985965905123797,0.0015604726911539065
INCSHX,0.00024562038122644125,0.001551312940766615
RX5V3C1,0.018205750347328298,0.0015400596706235145
COMSTAT3,0.025632415364306382,0.0015355573753143498
RX9CAT1,0.01778569226116611,0.0015241888042569944
PRESCR4,0.01353800912453984,0.001519888508027291
CONTSUB3,0.02545382809042085,0.0015161265021393076
RX8V1C1,0.017187148266045504,0.001504044591180864
CTCHEST,0.003967930325155855,0.0015026295150292743
CONTSUB5,0.022998553211643902,0.0014884821680954
RX3V2C2,0.006779230182932805,0.0014814347475618503
EXPSPACE,0.0,0.0014747139186089301
CONTSUB2,0.02072904730724301,0.001440353012301901
INCPHYS,0.003665880656983145,0.0014326316808275822
PRDIAG4,0.015171976940144383,0.0014307572395398497
CTHEAD,0.006835308481406122,0.0014236469464368206
ADVTRIAG,0.0,0.001420329646012325
COPD,0.0074344529086978195,0.001417900210665439
RX10V2C1,0.01654310125204672,0.0014100459512197917
RX3CAT2,0.005917517216626589,0.0014090013977592032
EDPTOR,0.0037338769633030733,0.0014060704671229264
EDINFO,0.0031312071277205256,0.0014037611406448665
RX11V2C1,0.01559530085568639,0.0014033573204029976
SEEN72,0.002006048957488016,0.001396699369826596
ZONENURS,0.0035510865470662623,0.001388895516302149
RX8CAT1,0.019528644471072276,0.0013862113682470464
PHYSPRACTRIA,0.0015283036011437545,0.0013786490078278434
DIAGSCRN,0.018625165166785695,0.0013753014552661997
PRESCR1,0.0029963525459399953,0.0013700509869612428
IMBED,0.004857907951019591,0.0013658405780666734
WIRELESS,0.004808857729425187,0.0013287357496884098
INJURY72,0.0050617887811224005,0.001319981432601694
PRDIAG2,0.020283744903230927,0.001303329356832734
CONTSUB1,0.01684531811613632,0.0012942420126688474
RX5V1C2,0.01534272103852441,0.0012736773926261588
SEX,0.0,0.0012733693791247439
PRESCR5,0.021632895810105968,0.0012553402282508847
CTAB,0.002784148950307319,0.0012490124395867503
KIOSELCHK,0.0,0.001240169321674455
RX2V1C2,0.0020924208623034346,0.0012383317446160098
URINE,0.010858264541991902,0.0012197772867509232
