variable_name,n_unique,missing_count,missing_percentage,top_values,rare_category_count
OTHDISP,2,0,0.0,0.0=15715 (98.1%); 1.0=310 (1.9%),0
ADMIT,9,0,0.0,-7.0=13904 (86.8%); 6.0=1082 (6.8%); 1.0=347 (2.2%); -8.0=283 (1.8%); 3.0=153 (1.0%),5
ADMTPHYS,5,0,0.0,-7.0=13904 (86.8%); 1.0=1423 (8.9%); -8.0=443 (2.8%); 2.0=182 (1.1%); -9.0=73 (0.5%),1
HDDIAG1,597,0,0.0,-7=13904 (86.8%); -9=114 (0.7%); ZZZ2=67 (0.4%); R079=50 (0.3%); A419=44 (0.3%),596
HDDIAG2,320,0,0.0,-7=13904 (86.8%); -9=1497 (9.3%); N179=22 (0.1%); I10-=18 (0.1%); I509=15 (0.1%),318
HDDIAG3,213,0,0.0,-7=13904 (86.8%); -9=1757 (11.0%); I10-=28 (0.2%); N179=10 (0.1%); N189=8 (0.0%),211
HDDIAG4,127,0,0.0,-7=13904 (86.8%); -9=1924 (12.0%); I10-=20 (0.1%); U071=7 (0.0%); E119=5 (0.0%),125
HDDIAG5,71,0,0.0,-7=13904 (86.8%); -9=2020 (12.6%); I10-=7 (0.0%); E785=6 (0.0%); A419=4 (0.0%),69
HDSTAT,5,0,0.0,-7.0=13904 (86.8%); 1.0=2011 (12.5%); 2.0=59 (0.4%); -8.0=28 (0.2%); -9.0=23 (0.1%),3
ADISP,7,0,0.0,-7.0=13991 (87.3%); 1.0=1636 (10.2%); 2.0=153 (1.0%); 3.0=143 (0.9%); 4.0=46 (0.3%),5
STAY24,3,0,0.0,2.0=14986 (93.5%); 3.0=623 (3.9%); 1.0=416 (2.6%),0
AGEFL,3,0,0.0,0.0=15916 (99.3%); 1.0=107 (0.7%); -9.0=2 (0.0%),2
BDATEFL,2,0,0.0,0.0=16017 (100.0%); 1.0=8 (0.0%),1
SEXFL,2,0,0.0,0.0=16003 (99.9%); 1.0=22 (0.1%),1
ETHNICFL,2,0,0.0,0.0=13691 (85.4%); 1.0=2334 (14.6%),0
RACERFL,2,0,0.0,0.0=13003 (81.1%); 1.0=3022 (18.9%),0
EMRED,3,0,0.0,1.0=14366 (89.6%); 2.0=1303 (8.1%); -8.0=356 (2.2%),0
HHSMUE,4,0,0.0,1.0=15425 (96.3%); -7.0=356 (2.2%); 2.0=152 (0.9%); -8.0=92 (0.6%),2
EHRINSE,4,0,0.0,2.0=14205 (88.6%); 1.0=1099 (6.9%); -8.0=503 (3.1%); 3.0=218 (1.4%),0
EDPRIM,5,0,0.0,1.0=7348 (45.9%); 2.0=4533 (28.3%); 4.0=1917 (12.0%); -8.0=1677 (10.5%); 3.0=550 (3.4%),0
EDINFO,3,0,0.0,1.0=12134 (75.7%); 2.0=2522 (15.7%); -8.0=1369 (8.5%),0
